fecha,usdclp,tpm
2003-01-01,722.4777273,2.82
2003-02-01,745.2135,2.75
2003-03-01,743.2833333,2.75
2003-04-01,718.2533333,2.75
2003-05-01,703.58,2.75
2003-06-01,709.1845,2.75
2003-07-01,701.1404348,2.75
2003-08-01,703.7725,2.75
2003-09-01,675.442,2.75
2003-10-01,646.0695652,2.75
2003-11-01,625.467,2.75
2003-12-01,602.9045,2.45
2004-01-01,573.6414286,1.87
2004-02-01,584.306,1.75
2004-03-01,603.9121739,1.75
2004-04-01,608.1871429,1.75
2004-05-01,635.7575,1.75
2004-06-01,643.4965,1.75
2004-07-01,632.3936364,1.75
2004-08-01,635.9318182,1.75
2004-09-01,616.5519048,1.94
2004-10-01,607.2785,2.0
2004-11-01,596.72,2.15
2004-12-01,576.17,2.25
2005-01-01,574.1195238,2.42
2005-02-01,573.584,2.65
2005-03-01,586.4827273,2.75
2005-04-01,580.4557143,2.94
2005-05-01,578.3090476,3.14
2005-06-01,585.4733333,3.25
2005-07-01,575.7661905,3.4
2005-08-01,546.6095455,3.65
2005-09-01,536.7004762,3.93
2005-10-01,535.497,4.18
2005-11-01,529.8814286,4.42
2005-12-01,514.3309524,4.5
2006-01-01,524.4768182,4.5
2006-02-01,525.7045,4.66
2006-03-01,528.7708696,4.75
2006-04-01,517.3263158,4.88
2006-05-01,520.7940909,5.0
2006-06-01,542.46,5.0
2006-07-01,540.6204762,5.14
2006-08-01,538.5272727,5.25
2006-09-01,538.6526316,5.25
2006-10-01,530.9547619,5.25
2006-11-01,527.4371429,5.25
2006-12-01,527.5821053,5.25
2007-01-01,540.51,5.09
2007-02-01,542.2665,5.0
2007-03-01,538.4877273,5.0
2007-04-01,532.301,5.0
2007-05-01,522.0161905,5.0
2007-06-01,526.7190476,5.0
2007-07-01,519.8045,5.15
2007-08-01,522.9227273,5.42
2007-09-01,516.9111765,5.62
2007-10-01,501.4427273,5.75
2007-11-01,506.9514286,5.75
2007-12-01,499.2768421,5.88
2008-01-01,480.8963636,6.17
2008-02-01,467.2171429,6.25
2008-03-01,442.942,6.25
2008-04-01,446.4336364,6.25
2008-05-01,470.1,6.25
2008-06-01,493.612381,6.58
2008-07-01,502.2413636,7.07
2008-08-01,516.702,7.5
2008-09-01,530.17,8.15
2008-10-01,618.3945455,8.25
2008-11-01,651.5055,8.25
2008-12-01,649.3165,8.25
2009-01-01,623.007619,7.49
2009-02-01,605.998,5.88
2009-03-01,592.9313636,3.27
2009-04-01,583.1757143,1.92
