,oficial_mensual,promedio_diaria,cierre_diaria,dif_vs_promedio,dif_vs_cierre
2003-01-01,722.4777273,722.4777272727273,734.34,2.7272676561551634e-08,11.862272700000062
2003-02-01,745.2135,745.2135000000001,753.54,1.1368683772161603e-13,8.32650000000001
2003-03-01,743.2833333,743.2833333333334,727.36,3.3333435567328706e-08,15.923333299999967
2003-04-01,718.2533333,718.2533333333333,705.32,3.3333321880490985e-08,12.933333299999958
2003-05-01,703.58,703.58,710.12,0.0,6.539999999999964
2003-06-01,709.1845,709.1845000000001,697.23,1.1368683772161603e-13,11.954499999999939
2003-07-01,701.1404348,701.1404347826086,705.64,1.7391357687301934e-08,4.499565200000006
2003-08-01,703.7725,703.7725,699.39,0.0,4.38250000000005
2003-09-01,675.442,675.442,665.13,0.0,10.312000000000012
2003-10-01,646.0695652,646.0695652173913,628.1,1.7391244000464212e-08,17.969565200000034
2003-11-01,625.467,625.467,624.51,0.0,0.9569999999999936
2003-12-01,602.9045,602.9045,599.42,0.0,3.4845000000000255
2004-01-01,573.6414286,573.6414285714285,596.78,2.8571548682521097e-08,23.138571399999933
2004-02-01,584.306,584.3059999999999,594.32,1.1368683772161603e-13,10.01400000000001
2004-03-01,603.9121739,603.9121739130435,623.21,1.304351826547645e-08,19.297826100000066
2004-04-01,608.1871429,608.1871428571428,624.84,4.2857209336943924e-08,16.652857100000006
2004-05-01,635.7575,635.7574999999999,632.32,1.1368683772161603e-13,3.4375
2004-06-01,643.4965,643.4965,636.59,0.0,6.906499999999937
2004-07-01,632.3936364,632.3936363636363,638.37,3.636364453996066e-08,5.976363600000013
2004-08-01,635.9318182,635.9318181818181,628.95,1.818182226998033e-08,6.981818199999907
2004-09-01,616.5519048,616.5519047619048,606.96,3.8095208765298594e-08,9.591904799999952
2004-10-01,607.2785,607.2785,615.2,0.0,7.921500000000037
2004-11-01,596.72,596.72,588.18,0.0,8.540000000000077
2004-12-01,576.17,576.17,559.83,0.0,16.339999999999918
2005-01-01,574.1195238,574.1195238095238,586.18,9.523773769615218e-09,12.060476199999925
2005-02-01,573.584,573.5840000000001,577.52,1.1368683772161603e-13,3.9360000000000355
2005-03-01,586.4827273,586.4827272727273,586.45,2.7272676561551634e-08,0.032727299999919524
2005-04-01,580.4557143,580.4557142857143,582.87,1.4285660654422827e-08,2.4142857000000504
2005-05-01,578.3090476,578.3090476190476,580.2,1.9047661226068158e-08,1.8909524000000602
2005-06-01,585.4733333,585.4733333333334,578.92,3.3333321880490985e-08,6.553333300000077
2005-07-01,575.7661905,575.7661904761904,563.44,2.3809548110875767e-08,12.326190499999939
2005-08-01,546.6095455,546.6095454545455,545.02,4.5454498831531964e-08,1.5895454999999856
2005-09-01,536.7004762,536.7004761904763,533.69,9.523773769615218e-09,3.010476199999971
2005-10-01,535.497,535.4970000000001,543.72,1.1368683772161603e-13,8.22300000000007
2005-11-01,529.8814286,529.8814285714286,518.96,2.8571434995683376e-08,10.921428600000013
2005-12-01,514.3309524,514.3309523809525,514.21,1.9047547539230436e-08,0.12095239999996465
2006-01-01,524.4768182,524.4768181818182,524.78,1.818182226998033e-08,0.30318179999994754
2006-02-01,525.7045,525.7045,517.76,0.0,7.944500000000062
2006-03-01,528.7708696,528.7708695652174,527.7,3.4782601687766146e-08,1.0708695999999236
2006-04-01,517.3263158,517.3263157894737,518.62,1.0526264304644428e-08,1.2936842000000297
2006-05-01,520.7940909,520.7940909090909,531.11,9.090854291571304e-09,10.315909099999999
2006-06-01,542.46,542.46,547.31,0.0,4.849999999999909
2006-07-01,540.6204762,540.6204761904762,539.41,9.523773769615218e-09,1.2104762000000164
2006-08-01,538.5272727,538.5272727272727,537.77,2.7272676561551634e-08,0.7572727000000441
2006-09-01,538.6526316,538.6526315789473,538.22,2.1052642296126578e-08,0.4326315999999224
2006-10-01,530.9547619,530.9547619047619,525.99,4.761886884807609e-09,4.964761899999985
2006-11-01,527.4371429,527.4371428571428,529.29,4.2857209336943924e-08,1.8528570999999374
2006-12-01,527.5821053,527.5821052631578,534.43,3.684215243993094e-08,6.8478946999999835
2007-01-01,540.51,540.51,545.18,0.0,4.669999999999959
2007-02-01,542.2665,542.2665,538.42,0.0,3.846499999999992
2007-03-01,538.4877273,538.4877272727273,539.37,2.7272676561551634e-08,0.8822727000000441
2007-04-01,532.301,532.301,527.08,0.0,5.221000000000004
2007-05-01,522.0161905,522.0161904761904,527.52,2.3809548110875767e-08,5.5038094999999885
2007-06-01,526.7190476,526.7190476190476,527.46,1.9047661226068158e-08,0.7409524000000829
2007-07-01,519.8045,519.8045,523.08,0.0,3.275500000000079
2007-08-01,522.9227273,522.9227272727272,524.63,2.7272790248389356e-08,1.7072726999999759
2007-09-01,516.9111765,516.9111764705882,511.72,2.941180810012156e-08,5.191176499999983
2007-10-01,501.4427273,501.44272727272727,494.64,2.7272733404970495e-08,6.802727300000015
2007-11-01,506.9514286,506.95142857142855,508.47,2.8571434995683376e-08,1.5185714000000416
2007-12-01,499.2768421,499.27684210526314,495.82,5.263132152322214e-09,3.456842100000017
2008-01-01,480.8963636,480.8963636363636,465.3,3.636364453996066e-08,15.596363599999961
2008-02-01,467.2171429,467.21714285714285,458.02,4.2857152493525064e-08,9.197142900000017
2008-03-01,442.942,442.942,439.09,0.0,3.8520000000000323
2008-04-01,446.4336364,446.4336363636364,459.16,3.63635876965418e-08,12.726363600000013
2008-05-01,470.1,470.1,479.66,0.0,9.560000000000002
2008-06-01,493.612381,493.612380952381,520.14,4.761903937833267e-08,26.52761899999996
2008-07-01,502.2413636,502.2413636363636,502.78,3.63635876965418e-08,0.538636399999973
2008-08-01,516.702,516.702,516.47,0.0,0.2319999999999709
2008-09-01,530.17,530.17,552.47,0.0,22.300000000000068
2008-10-01,618.3945455,618.3945454545454,664.96,4.5454612518369686e-08,46.56545449999999
2008-11-01,651.5055,651.5055,659.43,0.0,7.924499999999966
2008-12-01,649.3165,649.3165,629.11,0.0,20.206500000000005
